,batter_id,batter_name,year,avg,G,AB,R,H,1B,2B,3B,HR,TB,BB,HBP,SO,SLG,OBP,OPS,BABIP
369,43,김선빈,2009,0.293,72,116,29,34,24,9,1,0,45,10,1,13,0.38799999999999996,0.354,0.742,0.3300970873786408
370,43,김선빈,2010,0.293,115,348,40,102,85,14,2,1,123,34,6,44,0.353,0.36200000000000004,0.715,0.3333333333333333
371,43,김선빈,2011,0.29,98,335,58,97,79,12,2,4,125,50,2,42,0.373,0.38,0.753,0.3217993079584775
372,43,김선빈,2012,0.281,126,441,63,124,98,19,2,5,162,58,2,48,0.3670000000000001,0.363,0.73,0.30670103092783507
373,43,김선빈,2013,0.3,88,310,51,93,80,12,0,1,108,39,2,26,0.348,0.377,0.725,0.3250883392226148
376,43,김선빈,2017,0.37,137,476,84,176,136,34,1,5,227,39,5,40,0.47700000000000004,0.42,0.897,0.39675174013921116
377,43,김선빈,2018,0.295,127,424,73,125,102,17,2,4,158,48,9,42,0.373,0.374,0.747,0.3201058201058201
380,44,김성욱,2015,0.258,125,182,32,47,35,8,1,3,66,17,4,52,0.363,0.33299999999999996,0.696,0.3464566929133858
381,44,김성욱,2016,0.265,130,306,60,81,50,15,1,15,143,30,3,64,0.467,0.33399999999999996,0.8009999999999999,0.2907488986784141
382,44,김성욱,2017,0.247,124,308,60,76,48,18,4,6,120,24,9,59,0.39,0.315,0.7050000000000001,0.2880658436213992
383,44,김성욱,2018,0.26,111,323,49,84,56,13,2,13,140,29,1,64,0.433,0.32,0.753,0.2886178861788618
388,45,김성현,2012,0.239,88,163,28,39,26,8,3,2,59,12,5,26,0.36200000000000004,0.311,0.6729999999999999,0.2740740740740741
389,45,김성현,2013,0.21600000000000005,97,162,27,35,26,7,1,1,47,16,1,28,0.29,0.29100000000000004,0.581,0.2556390977443609
390,45,김성현,2014,0.284,122,398,73,113,87,20,1,5,150,55,7,51,0.377,0.376,0.753,0.3157894736842105
391,45,김성현,2015,0.297,129,397,49,118,90,20,0,8,162,31,7,42,0.408,0.35700000000000004,0.7649999999999999,0.3170028818443804
392,45,김성현,2016,0.319,138,479,66,153,117,28,0,8,205,33,6,37,0.428,0.366,0.794,0.33410138248847926
393,45,김성현,2017,0.271,130,380,45,103,85,14,0,4,129,34,4,28,0.33899999999999997,0.335,0.674,0.28448275862068967
394,45,김성현,2018,0.27699999999999997,135,415,51,115,91,19,1,4,148,29,9,42,0.35700000000000004,0.336,0.6930000000000001,0.3008130081300813
395,46,김성훈,2017,0.318,47,151,27,48,42,4,2,0,56,12,1,16,0.371,0.37,0.741,0.35555555555555557
396,46,김성훈,2018,0.243,110,185,24,45,33,9,3,0,60,16,6,23,0.324,0.321,0.645,0.2777777777777778
404,48,김용의,2012,0.247,83,194,22,48,42,4,0,2,58,17,0,50,0.299,0.304,0.603,0.323943661971831
405,48,김용의,2013,0.276,109,301,42,83,67,6,5,5,114,34,0,58,0.379,0.34600000000000003,0.725,0.3277310924369748
406,48,김용의,2014,0.24,103,183,31,44,36,7,1,0,53,19,2,46,0.29,0.317,0.607,0.32116788321167883
407,48,김용의,2015,0.251,71,171,30,43,37,5,1,0,50,22,3,38,0.292,0.34700000000000003,0.639,0.3233082706766917
408,48,김용의,2016,0.318,105,308,62,98,75,18,4,1,127,35,0,64,0.41200000000000003,0.38799999999999996,0.8,0.3991769547325103
409,48,김용의,2017,0.268,60,164,17,44,36,6,2,0,54,19,0,49,0.32899999999999996,0.344,0.6729999999999999,0.3826086956521739
410,48,김용의,2018,0.233,114,159,28,37,35,2,0,0,39,16,0,32,0.245,0.298,0.5429999999999999,0.29133858267716534
440,55,김재율,2017,0.304,75,181,21,55,40,9,0,6,82,10,2,35,0.45299999999999996,0.345,0.7979999999999999,0.35
444,56,김재현,2016,0.218,122,188,25,41,34,7,0,0,48,8,7,42,0.255,0.275,0.53,0.2808219178082192
448,57,김재호,2008,0.249,112,261,48,65,51,8,5,1,86,25,2,33,0.33,0.318,0.648,0.28193832599118945
449,57,김재호,2009,0.239,80,180,27,43,27,9,4,3,69,20,1,27,0.38299999999999995,0.312,0.6950000000000001,0.26666666666666666
451,57,김재호,2011,0.183,57,109,6,20,14,5,1,0,27,7,2,15,0.248,0.242,0.49,0.2127659574468085
452,57,김재호,2012,0.215,84,177,23,38,34,2,2,0,44,16,2,31,0.249,0.287,0.536,0.2602739726027397
453,57,김재호,2013,0.315,91,248,42,78,64,10,3,1,97,26,0,24,0.391,0.377,0.768,0.3452914798206278
454,57,김재호,2014,0.252,122,341,50,86,68,14,1,3,111,54,2,59,0.326,0.348,0.6739999999999999,0.2974910394265233
455,57,김재호,2015,0.307,133,410,63,126,96,24,3,3,165,54,3,42,0.402,0.386,0.7879999999999999,0.336986301369863
456,57,김재호,2016,0.31,137,416,69,129,92,27,3,7,183,57,5,52,0.44,0.389,0.8290000000000001,0.34173669467787116
457,57,김재호,2017,0.293,91,283,34,83,57,18,1,7,124,36,3,52,0.43799999999999994,0.371,0.8089999999999999,0.3392857142857143
458,57,김재호,2018,0.311,131,402,78,125,89,20,0,16,193,52,4,77,0.48,0.39,0.87,0.35275080906148865
463,58,김재환,2015,0.235,48,153,24,36,21,8,0,7,65,22,2,39,0.425,0.335,0.76,0.27102803738317754
464,58,김재환,2016,0.325,134,492,107,160,88,32,3,37,309,71,0,107,0.628,0.40700000000000003,1.035,0.35344827586206895
465,58,김재환,2017,0.34,144,544,110,185,114,34,2,35,328,81,7,123,0.603,0.429,1.032,0.38860103626943004
466,58,김재환,2018,0.33399999999999996,139,527,104,176,95,36,1,44,346,59,9,134,0.657,0.405,1.062,0.37822349570200575
479,62,김주찬,2001,0.313,86,300,57,94,65,21,4,4,135,24,2,56,0.45,0.363,0.813,0.375
480,62,김주찬,2002,0.22,84,264,25,58,34,13,4,7,100,14,5,75,0.379,0.271,0.65,0.2802197802197802
481,62,김주찬,2003,0.16,55,125,12,20,11,5,1,3,36,5,0,33,0.28800000000000003,0.192,0.48,0.19101123595505617
482,62,김주찬,2004,0.242,120,450,53,109,77,20,5,7,160,32,13,92,0.35600000000000004,0.31,0.6659999999999999,0.2905982905982906
483,62,김주찬,2007,0.261,113,387,49,101,78,17,1,5,135,13,8,69,0.349,0.298,0.647,0.30670926517571884
484,62,김주찬,2008,0.313,104,412,75,129,105,16,7,1,162,24,8,61,0.39299999999999996,0.359,0.752,0.3657142857142857
485,62,김주찬,2009,0.31,109,435,77,135,93,30,5,7,196,28,6,56,0.451,0.35600000000000004,0.8069999999999999,0.34408602150537637
486,62,김주찬,2010,0.276,118,485,89,134,103,18,4,9,187,31,5,65,0.386,0.324,0.71,0.30413625304136255
487,62,김주찬,2011,0.312,86,321,58,100,79,12,3,6,136,27,7,38,0.424,0.373,0.7969999999999999,0.33935018050541516
488,62,김주찬,2012,0.294,118,435,62,128,93,27,3,5,176,30,7,48,0.405,0.34600000000000003,0.7509999999999999,0.3219895287958115
489,62,김주찬,2013,0.304,47,168,24,51,38,9,4,0,68,15,4,18,0.405,0.3720000000000001,0.777,0.34
490,62,김주찬,2014,0.34600000000000003,100,399,72,138,93,32,4,9,205,31,4,48,0.514,0.397,0.9109999999999999,0.37719298245614036
491,62,김주찬,2015,0.327,98,333,66,109,66,23,2,18,190,23,12,58,0.5710000000000001,0.38299999999999995,0.9540000000000001,0.3540856031128405
492,62,김주찬,2016,0.34600000000000003,130,511,97,177,114,37,3,23,289,30,7,68,0.5660000000000001,0.386,0.9520000000000001,0.36666666666666664
493,62,김주찬,2017,0.309,122,440,78,136,83,39,2,12,215,31,4,59,0.489,0.359,0.848,0.33604336043360433
494,62,김주찬,2018,0.34,121,429,71,146,105,23,0,18,223,23,7,57,0.52,0.375,0.895,0.3615819209039548
498,63,김주형,2007,0.231,36,108,14,25,12,7,0,6,50,5,4,30,0.46299999999999997,0.28800000000000003,0.7509999999999999,0.2638888888888889
499,63,김주형,2008,0.226,62,146,10,33,23,8,0,2,47,5,3,30,0.322,0.263,0.585,0.2719298245614035
500,63,김주형,2011,0.19899999999999998,88,271,23,54,31,14,0,9,95,17,4,71,0.35100000000000003,0.256,0.607,0.2356020942408377
501,63,김주형,2012,0.154,56,117,8,18,13,2,0,3,29,6,1,35,0.248,0.198,0.446,0.189873417721519
502,63,김주형,2013,0.24100000000000002,81,249,27,60,43,8,0,9,95,23,3,54,0.382,0.308,0.69,0.27419354838709675
503,63,김주형,2014,0.245,64,151,16,37,26,4,0,7,62,17,2,19,0.41100000000000003,0.326,0.737,0.24
505,63,김주형,2016,0.281,135,345,43,97,61,16,1,19,172,34,6,55,0.499,0.355,0.8540000000000001,0.2878228782287823
506,63,김주형,2017,0.17,57,106,11,18,13,5,0,0,23,8,1,13,0.217,0.233,0.45,0.1935483870967742
512,64,김지수,2015,0.235,104,132,23,31,24,7,0,0,38,9,2,27,0.28800000000000003,0.292,0.58,0.29523809523809524
521,67,김태균,2001,0.335,88,245,51,82,47,13,2,20,159,40,4,72,0.649,0.436,1.085,0.40522875816993464
522,67,김태균,2002,0.255,105,298,25,76,58,11,0,7,108,41,2,103,0.36200000000000004,0.34700000000000003,0.7090000000000001,0.3670212765957447
523,67,김태균,2003,0.319,133,479,67,153,96,24,2,31,274,79,9,106,0.5720000000000001,0.424,0.996,0.3567251461988304
524,67,김태균,2004,0.32299999999999995,129,473,76,153,103,26,1,23,250,70,6,99,0.529,0.41200000000000003,0.941,0.37037037037037035
525,67,김태균,2005,0.317,124,461,73,146,88,33,2,23,252,60,6,73,0.547,0.401,0.948,0.336986301369863
526,67,김태균,2006,0.29100000000000004,124,423,66,123,83,27,0,13,189,82,2,89,0.447,0.405,0.8520000000000001,0.3426791277258567
527,67,김태균,2007,0.29,118,393,62,114,80,13,0,21,190,90,2,70,0.483,0.42,0.903,0.3079470198675497
528,67,김태균,2008,0.324,115,410,81,133,74,27,1,31,255,64,5,67,0.622,0.41700000000000004,1.0390000000000001,0.3269230769230769
529,67,김태균,2009,0.33,95,336,63,111,77,15,0,19,183,45,6,71,0.545,0.41600000000000004,0.961,0.37398373983739835
530,67,김태균,2012,0.363,126,416,61,151,111,24,0,16,223,81,11,69,0.536,0.474,1.01,0.4078549848942598
531,67,김태균,2013,0.319,101,345,41,110,76,24,0,10,164,73,8,67,0.475,0.444,0.919,0.373134328358209
532,67,김태균,2014,0.365,118,422,66,154,106,30,0,18,238,70,11,73,0.564,0.46299999999999997,1.0270000000000001,0.4108761329305136
533,67,김태균,2015,0.316,133,408,61,129,80,28,0,21,220,98,12,80,0.539,0.457,0.996,0.3517915309446254
534,67,김태균,2016,0.365,144,529,94,193,131,39,0,23,301,108,9,97,0.569,0.475,1.044,0.4156479217603912
535,67,김태균,2017,0.34,94,356,51,121,82,22,0,17,194,43,4,56,0.545,0.413,0.958,0.3674911660777385
536,67,김태균,2018,0.315,73,254,25,80,59,11,0,10,121,13,4,56,0.47600000000000003,0.358,0.8340000000000001,0.3723404255319149
541,69,김태완,2008,0.266,124,383,44,102,63,16,0,23,187,50,11,78,0.488,0.36200000000000004,0.85,0.2801418439716312
542,69,김태완,2009,0.289,112,360,62,104,62,17,2,23,194,72,11,89,0.539,0.419,0.958,0.32661290322580644
543,69,김태완,2010,0.265,116,370,62,98,70,13,0,15,156,86,13,99,0.42200000000000004,0.418,0.84,0.32421875
544,69,김태완,2013,0.22899999999999998,93,279,24,64,48,13,0,3,86,33,7,78,0.308,0.324,0.632,0.30808080808080807
545,69,김태완,2014,0.258,89,186,26,48,33,8,0,7,77,24,3,51,0.414,0.35,0.764,0.3203125
554,71,김하성,2015,0.29,140,511,89,148,89,35,5,19,250,56,5,115,0.489,0.36200000000000004,0.851,0.3421750663129973
555,71,김하성,2016,0.281,144,526,92,148,92,29,7,20,251,60,6,80,0.47700000000000004,0.358,0.835,0.3004694835680751
556,71,김하성,2017,0.302,141,526,90,159,97,36,3,23,270,58,8,65,0.513,0.376,0.889,0.3105022831050228
557,71,김하성,2018,0.28800000000000003,129,511,95,147,96,27,4,20,242,54,5,81,0.474,0.358,0.8320000000000001,0.3097560975609756
561,72,김헌곤,2014,0.26,76,123,17,32,21,5,3,3,52,13,6,20,0.423,0.359,0.782,0.29
562,72,김헌곤,2017,0.264,123,356,51,94,70,13,2,9,138,29,8,45,0.38799999999999996,0.331,0.7190000000000001,0.2814569536423841
563,72,김헌곤,2018,0.3,141,513,77,154,115,26,2,11,217,54,10,70,0.423,0.375,0.7979999999999999,0.33101851851851855
565,73,김현수,2007,0.273,99,319,33,87,60,19,3,5,127,26,5,46,0.39799999999999996,0.335,0.7330000000000001,0.30597014925373134
566,73,김현수,2008,0.35700000000000004,126,470,83,168,120,34,5,9,239,80,5,40,0.509,0.45399999999999996,0.963,0.37767220902612825
567,73,김현수,2009,0.35700000000000004,133,482,97,172,112,31,6,23,284,80,4,59,0.589,0.44799999999999995,1.037,0.3725
568,73,김현수,2010,0.317,132,473,88,150,97,29,0,24,251,78,6,64,0.531,0.414,0.945,0.32727272727272727
569,73,김현수,2011,0.301,130,475,71,143,103,25,2,13,211,71,6,63,0.444,0.392,0.8360000000000001,0.3258145363408521
570,73,김현수,2012,0.29100000000000004,122,437,47,127,102,17,1,7,167,46,3,50,0.382,0.358,0.74,0.3157894736842105
571,73,김현수,2013,0.302,122,434,63,131,91,23,1,16,204,62,2,71,0.47,0.382,0.852,0.3314121037463977
572,73,김현수,2014,0.322,125,463,75,149,106,26,0,17,226,53,7,45,0.488,0.396,0.884,0.32917705735660846
573,73,김현수,2015,0.326,141,512,103,167,113,26,0,28,277,101,8,63,0.541,0.43799999999999994,0.979,0.33016627078384797
574,73,김현수,2018,0.36200000000000004,117,453,95,164,103,39,2,20,267,47,1,61,0.589,0.415,1.004,0.3870967741935484
577,75,김혜성,2018,0.27,136,430,79,116,90,15,6,5,158,33,5,119,0.3670000000000001,0.32799999999999996,0.6950000000000001,0.3627450980392157
581,76,김회성,2014,0.23600000000000002,59,140,21,33,18,8,1,6,61,14,4,45,0.436,0.321,0.757,0.30337078651685395
582,76,김회성,2015,0.209,83,225,36,47,19,10,2,16,109,28,10,58,0.484,0.321,0.8049999999999999,0.2052980132450331
587,77,나경민,2017,0.256,97,117,37,30,22,5,2,1,42,7,2,37,0.359,0.307,0.6659999999999999,0.3670886075949367
589,79,나성범,2013,0.243,104,404,55,98,61,18,5,14,168,33,15,95,0.41600000000000004,0.319,0.735,0.2847457627118644
590,79,나성범,2014,0.32899999999999996,123,477,88,157,94,28,5,30,285,42,15,128,0.597,0.4,0.997,0.3981191222570533
591,79,나성범,2015,0.326,144,564,112,184,117,34,5,28,312,32,15,127,0.5529999999999999,0.373,0.9259999999999999,0.38141809290953543
592,79,나성범,2016,0.309,144,572,116,177,116,37,2,22,284,67,9,136,0.4970000000000001,0.38799999999999996,0.885,0.3743961352657005
593,79,나성범,2017,0.34700000000000003,125,498,103,173,105,42,2,24,291,48,12,116,0.584,0.415,0.999,0.41620111731843573
594,79,나성범,2018,0.318,144,556,110,177,115,36,3,23,288,44,15,131,0.518,0.381,0.899,0.38308457711442784
602,82,나종덕,2018,0.124,106,177,15,22,17,3,0,2,31,12,5,85,0.175,0.201,0.376,0.2222222222222222
605,83,나주환,2005,0.27,99,174,21,47,37,9,0,1,59,10,4,36,0.33899999999999997,0.321,0.66,0.3357664233576642
606,83,나주환,2006,0.23199999999999998,114,233,20,54,41,8,2,3,75,18,6,37,0.322,0.299,0.621,0.26424870466321243
607,83,나주환,2007,0.243,117,284,30,69,52,13,2,2,92,22,4,42,0.324,0.301,0.625,0.2791666666666667
